2026-06-12 17:24:33.446 +03:00 [INF] AssettoServer 0.0.55-pre35
2026-06-12 17:24:33.468 +03:00 [DBG] Server was started through Content Manager
2026-06-12 17:24:33.473 +03:00 [DBG] Loading server_cfg.ini from C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\server\presets\Shutoko Tatsumi PA\server_cfg.ini
2026-06-12 17:24:33.489 +03:00 [DBG] Loading entry_list.ini from C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\server\presets\Shutoko Tatsumi PA\entry_list.ini
2026-06-12 17:24:33.704 +03:00 [DBG] Loading extra_cfg.yml from C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\server\presets\Shutoko Tatsumi PA\extra_cfg.yml
2026-06-12 18:08:40.729 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:08:42.369 +03:00 [INF] Collision between corp14x3 (30) and Traffic 17 (17), rel. speed 19km/h
2026-06-12 18:08:44.364 +03:00 [INF] Collision between corp14x3 (30) and Traffic 17 (17), rel. speed 28km/h
2026-06-12 18:08:46.364 +03:00 [INF] Collision between corp14x3 (30) and Traffic 17 (17), rel. speed 11km/h
2026-06-12 18:08:48.368 +03:00 [INF] Collision between corp14x3 (30) and Traffic 17 (17), rel. speed 28km/h
2026-06-12 18:08:49.681 +03:00 [DBG] Received clean exit from corp14x3 (30)
2026-06-12 18:08:49.683 +03:00 [DBG] Disconnecting corp14x3 (76561199521796457 - 212.154.2.0:62473)
2026-06-12 18:08:49.684 +03:00 [INF] corp14x3 has disconnected
2026-06-12 18:16:31.909 +03:00 [DBG] Car 0 reached spline end, despawning
2026-06-12 18:19:42.504 +03:00 [WRN] As of ""2026-06-12T15:19:37.8064859+00:00"", the heartbeat has been running for ""00:00:03.3433639"" which is longer than ""00:00:01"". This could be caused by thread pool starvation.
2026-06-12 18:19:47.838 +03:00 [DBG] Car 2 reached spline end, despawning
2026-06-12 18:20:36.832 +03:00 [DBG] Car 9 reached spline end, despawning
