2026-06-07 04:13:27.397 +03:00 [DBG] Car 18 reached spline end, despawning
2026-06-07 04:15:13.188 +03:00 [INF] Collision between corp14x3 (30) and Traffic 25 (25), rel. speed 11km/h
2026-06-07 04:15:15.903 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 102km/h
2026-06-07 04:16:42.818 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 13km/h
2026-06-07 04:16:44.864 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 4km/h
2026-06-07 04:16:48.704 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 8km/h
2026-06-07 04:18:19.820 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 1km/h
2026-06-07 04:18:21.683 +03:00 [INF] Collision between corp14x3 (30) and Traffic 27 (27), rel. speed 23km/h
2026-06-07 04:18:23.438 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 55km/h
2026-06-07 04:18:23.964 +03:00 [DBG] Car 29 reached spline end, despawning
2026-06-07 04:18:26.547 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 10km/h
2026-06-07 04:18:29.909 +03:00 [DBG] Car 15 reached spline end, despawning
2026-06-07 04:18:31.792 +03:00 [DBG] Car 14 reached spline end, despawning
2026-06-07 04:18:35.361 +03:00 [DBG] Car 1 reached spline end, despawning
2026-06-07 04:18:37.929 +03:00 [DBG] Car 1 reached spline end, despawning
2026-06-07 04:18:40.546 +03:00 [DBG] Car 22 reached spline end, despawning
2026-06-07 04:18:42.306 +03:00 [DBG] Car 9 reached spline end, despawning
2026-06-07 04:18:45.981 +03:00 [DBG] Car 0 reached spline end, despawning
2026-06-07 04:18:50.750 +03:00 [DBG] Car 2 reached spline end, despawning
2026-06-07 04:18:53.840 +03:00 [DBG] Car 19 reached spline end, despawning
2026-06-07 04:19:00.250 +03:00 [DBG] Car 25 reached spline end, despawning
2026-06-07 04:19:00.906 +03:00 [DBG] Car 25 reached spline end, despawning
2026-06-07 04:19:01.917 +03:00 [DBG] Car 20 reached spline end, despawning
2026-06-07 04:19:04.542 +03:00 [DBG] Car 24 reached spline end, despawning
2026-06-07 04:19:04.573 +03:00 [DBG] Car 12 reached spline end, despawning
2026-06-07 04:19:05.026 +03:00 [DBG] Car 12 reached spline end, despawning
2026-06-07 04:19:07.058 +03:00 [DBG] Car 9 reached spline end, despawning
2026-06-07 04:19:07.229 +03:00 [DBG] Car 23 reached spline end, despawning
2026-06-07 04:19:07.245 +03:00 [DBG] Car 6 reached spline end, despawning
2026-06-07 04:19:08.491 +03:00 [DBG] Car 14 reached spline end, despawning
2026-06-07 04:19:09.252 +03:00 [DBG] Car 6 reached spline end, despawning
2026-06-07 04:19:09.782 +03:00 [DBG] Car 21 reached spline end, despawning
2026-06-07 04:19:09.983 +03:00 [DBG] Car 6 reached spline end, despawning
2026-06-07 04:19:12.374 +03:00 [DBG] Car 8 reached spline end, despawning
2026-06-07 04:19:12.777 +03:00 [DBG] Car 8 reached spline end, despawning
2026-06-07 04:19:15.108 +03:00 [DBG] Car 4 reached spline end, despawning
2026-06-07 04:19:16.120 +03:00 [DBG] Car 4 reached spline end, despawning
2026-06-07 04:19:17.613 +03:00 [DBG] Car 11 reached spline end, despawning
2026-06-07 04:19:17.613 +03:00 [DBG] Car 13 reached spline end, despawning
2026-06-07 04:19:18.638 +03:00 [DBG] Car 6 reached spline end, despawning
2026-06-07 04:19:19.073 +03:00 [DBG] Car 1 reached spline end, despawning
2026-06-07 04:19:22.996 +03:00 [DBG] Car 17 reached spline end, despawning
2026-06-07 04:19:23.011 +03:00 [DBG] Car 19 reached spline end, despawning
2026-06-07 04:19:26.404 +03:00 [DBG] Car 29 reached spline end, despawning
2026-06-07 04:19:26.527 +03:00 [DBG] Car 0 reached spline end, despawning
2026-06-07 04:19:28.054 +03:00 [DBG] Car 2 reached spline end, despawning
2026-06-07 04:19:48.719 +03:00 [DBG] Car 0 reached spline end, despawning
2026-06-07 04:19:51.695 +03:00 [DBG] Car 8 reached spline end, despawning
2026-06-07 04:19:52.099 +03:00 [DBG] Car 8 reached spline end, despawning
2026-06-07 04:19:53.596 +03:00 [DBG] Car 16 reached spline end, despawning
2026-06-07 04:19:54.811 +03:00 [DBG] Car 2 reached spline end, despawning
2026-06-07 04:19:55.867 +03:00 [DBG] Car 8 reached spline end, despawning
2026-06-07 04:20:00.350 +03:00 [DBG] Car 22 reached spline end, despawning
2026-06-07 04:20:00.806 +03:00 [DBG] Car 22 reached spline end, despawning
2026-06-07 04:20:03.747 +03:00 [DBG] Car 6 reached spline end, despawning
2026-06-07 04:20:05.706 +03:00 [DBG] Car 18 reached spline end, despawning
2026-06-07 04:20:09.392 +03:00 [DBG] Car 28 reached spline end, despawning
2026-06-07 04:20:10.482 +03:00 [DBG] Car 2 reached spline end, despawning
2026-06-07 04:20:11.417 +03:00 [DBG] Car 2 reached spline end, despawning
2026-06-07 04:20:13.763 +03:00 [DBG] Car 14 reached spline end, despawning
2026-06-07 04:20:14.665 +03:00 [DBG] Car 11 reached spline end, despawning
2026-06-07 04:20:18.585 +03:00 [DBG] Car 5 reached spline end, despawning
2026-06-07 04:20:20.332 +03:00 [DBG] Car 2 reached spline end, despawning
2026-06-07 04:20:24.427 +03:00 [DBG] Car 13 reached spline end, despawning
2026-06-07 04:20:26.753 +03:00 [DBG] Car 1 reached spline end, despawning
2026-06-07 04:20:27.643 +03:00 [DBG] Car 4 reached spline end, despawning
2026-06-07 04:20:30.408 +03:00 [DBG] Car 26 reached spline end, despawning
2026-06-07 04:20:34.456 +03:00 [DBG] Car 9 reached spline end, despawning
2026-06-07 04:20:35.237 +03:00 [DBG] Car 24 reached spline end, despawning
2026-06-07 04:20:35.624 +03:00 [DBG] Car 23 reached spline end, despawning
2026-06-07 04:20:36.982 +03:00 [DBG] Car 20 reached spline end, despawning
2026-06-07 04:20:40.096 +03:00 [DBG] Car 0 reached spline end, despawning
2026-06-07 04:20:43.171 +03:00 [DBG] Car 12 reached spline end, despawning
2026-06-07 04:20:44.232 +03:00 [DBG] Car 10 reached spline end, despawning
2026-06-07 04:21:57.061 +03:00 [INF] Collision between corp14x3 (30) and Traffic 7 (7), rel. speed 24km/h
2026-06-07 04:21:57.920 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 15km/h
2026-06-07 04:22:00.135 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 23km/h
2026-06-07 04:22:04.089 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 12km/h
2026-06-07 04:23:00.092 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 22km/h
2026-06-07 04:23:00.504 +03:00 [INF] Collision between corp14x3 (30) and Traffic 20 (20), rel. speed 49km/h
2026-06-07 04:23:03.153 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 25km/h
2026-06-07 04:23:59.565 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 5km/h
2026-06-07 04:24:12.548 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 5km/h
2026-06-07 04:24:18.386 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 14km/h
